projectNumber,clientNumber,projectDescription,siteAddress,siteLocality,sitePostCode,siteCountry,status,architecture,structure,cost,pm
349,200,MCM Hangar,  ,,,,Active,,,,
350,217,Nadur Villa,  ,,,,Active,,,,
351,218,Gudja Residence,  ,,,,Active,,,,
352,219,Gudja SemiDetached Villa,  ,,,,Active,,,,
353,200,MCM Hangar,  ,,,,Active,,,,
354,221,Valletta Office Survey,  ,,,,Active,,,,
355,222,Zejtun Residence Alterations,  ,,,,Active,,,,
356,223,Mqabba House of Character,  ,,,,Active,,,,
357,202,Ghaxaq Apartment Block,  ,,,,Active,,,,
358,224,Medavia Offices Refurbishment,  ,,,,Active,,,,
359,6,Qawra Aquarium Centre,  ,,,,Active,,,,
360,19,Marsascala Maisonette Ammendment,  ,,,,Active,,,,
361,115,C&F Quotations,  ,,,,Active,,,,
362,37,Sliema Apartment Block,  ,,,,Active,,,,
363,225,Balzan Villa Minor Works,  ,,,,Active,,,,
364,226,Birkirkara Garage Alterations,  ,,,,Active,,,,
365,227,Swieqi Maisonette Extension,  ,,,,Active,,,,
366,134,Kirkop Shop,  ,,,,Active,,,,
367,37,Birkirkara Apartment Block,  ,,,,Active,,,,
368,228,Zejtun Maisonette Extension,  ,,,,Active,,,,
369,3,Sliema Apartment Block Structural Consultancy,  ,,,,Active,,,,
370,180,Smart City O2O3RT3RT4,  ,,,,Active,,,,
371,2,Xemxija Stairwell,  ,,,,Active,,,,
372,229,Naxxar Villa Alterations,  ,,,,Active,,,,
373,230,Fort Ricasoli Oil Tanking,  ,,,,Active,,,,
374,231,Bahar icCaghaq Duplexes,  ,,,,Active,,,,
375,29,Lufthansa Technik Facility Amendments,  ,,,,Active,,,,
376,232,Birkirkara Showroom Structural Report,  ,,,,Active,,,,
377,180,Valletta Barrakka Lift,  ,,,,Active,,,,
378,234,Dubai Hangar Amendments,  ,,,,Active,,,,
379,215,Gudja Apartment Block,  ,,,,Active,,,,
380,244,Attard Terraced House,  ,,,,Active,,,,
381,245,Mosta Terraced House Amendments,  ,,,,Active,,,,
382,66,Zebbug Storm Water Tunnel,  ,,,,Active,,,,
383,246,Marsa Roundabout Consultancy,  ,,,,Active,,,,
384,37,Gharghur Apartment Block,  ,,,,Active,,,,
385,37,Qawra Apartment Block,  ,,,,Active,,,,
386,247,Zejtun Change of Use,  ,,,,Active,,,,
387,248,San Pawl TatTarga Residence Amendments,  ,,,,Active,,,,
388,249,Isla Change of Use,  ,,,,Active,,,,
389,230,Marsa Drydocks Facilities,  ,,,,Active,,,,
390,66,Marsa Roadwork Consultancy,  ,,,,Active,,,,
391,250,Bormla Drydocks,  ,,,,Active,,,,
392,251,Mriehel Warehouse Inspection,  ,,,,Active,,,,
393,252,Msida Residence Alterations,  ,,,,Active,,,,
394,180,Maghtab Submarine Cable Station,  ,,,,Active,,,,
395,248,Ta Xbiex Apartment Block Refurbishment,  ,,,,Active,,,,
396,6,Qormi Carpark,  ,,,,Active,,,,
397,253,San Gwann Office Refurbishment,  ,,,,Active,,,,
398,19,Fgura Shop Change of Use,  ,,,,Active,,,,
399,55,Swieqi Garage Alterations,  ,,,,Active,,,,
400,220,HalFerh Development,  ,,,,Active,,,,
401,309,Paceville Public Space Application,  ,,,,Active,,,,
402,255,Victoria Development Foundations,  ,,,,Active,,,,
403,256,Kordin Sports Facility,  ,,,,Active,,,,
404,66,Mellieha Bypass Roadworks,  ,,,,Active,,,,
405,156,San Gwann Proposed Extension To Terraced House,  ,,,,Active,,,,
406,200,Pender Tower T1  T2,  ,,,,Active,,,,
407,257,Rabat Premises Alterations,  ,,,,Active,,,,
408,200,Gzira Office Block,  ,,,,Active,,,,
409,200,Gozo Sports Complex,  ,,,,Active,,,,
410,200,City Gate PB 05,  ,,,,Active,,,,
